modelo,auc_teste,ks_teste,f1_teste,precision_teste,recall_teste,cv_auc_mean,cv_auc_std,train_auc_mean
Regressão Logística,0.8605482364814879,0.5633175500256326,0.33380790712955866,0.21386472074094864,0.7600997506234414,0.8535264170359993,0.006939266651707843,0.8537348517261231
Random Forest,0.8666753102954349,0.5819003126226228,0.3437050160558078,0.22089382294335325,0.774064837905237,0.8605781583148836,0.006774212185189673,0.8743907799907316
XGBoost,0.8697317609708538,0.5800084535936458,0.34230854116089166,0.21978177695904774,0.7735660847880299,0.8622676677419884,0.006004075971401994,0.884296423710677
